pvu,pvc,nu1,nu2,control
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.04,0.01,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.06,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.13,0.07,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
0.0,0.0,0.0,0.2,False
1.0,0.0,0.0,0.2,False
