pvu,pvc,nu1,nu2,control
1.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.01,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.01,0.0,0.0,1.0,False
0.1,0.21,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.02,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.02,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.04,0.08,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.02,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.01,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
1.0,0.02,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.02,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.0,1.0,False
1.0,0.01,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.0,0.0,1.0,False
0.0,0.01,0.0,1.0,False
0.0,0.01,0.0,1.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.06,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.08,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.02,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.01,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.06,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.02,0.13,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.09,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.02,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.02,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.07,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.01,0.09,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.01,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.02,0.2,0.0,False
0.0,0.05,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.04,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.01,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.06,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
0.0,0.06,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.02,0.2,0.0,False
0.0,0.02,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.01,0.2,0.0,False
1.0,0.01,0.2,0.0,False
0.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
1.0,0.0,0.2,0.0,False
0.0,0.0,0.2,0.0,False
