pvu,pvc,nu1,nu2,control
1.0,0.0,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.24,0.25,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.02,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.02,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.07,0.13,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.07,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.02,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.05,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.04,0.12,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.04,0.4,1.0,False
0.01,0.09,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.01,0.08,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.06,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.04,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.04,0.4,1.0,False
0.0,0.03,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.01,0.08,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.06,0.11,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.03,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.01,0.08,0.4,1.0,False
0.0,0.04,0.4,1.0,False
0.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
0.0,0.0,0.4,1.0,False
0.0,0.01,0.4,1.0,False
1.0,0.01,0.4,1.0,False
1.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
1.0,0.0,0.4,1.0,False
